train/std,time/fps,time/time_elapsed,train/n_updates,time/total_timesteps,train/reward,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_loss,time/iterations,train/learning_rate
1.003882884979248,93,5,99,500,-0.06787768,-41.25726318359375,-0.44132208824157715,3.847911834716797,-72.77452850341797,100,0.0007
1.0058072805404663,101,9,199,1000,-2.0564384,-41.303558349609375,-1.1920928955078125e-07,0.2511487603187561,-4.683902263641357,200,0.0007
1.0067152976989746,105,14,299,1500,4.2408257,-41.33479309082031,0.0,5.9068498611450195,-93.11611938476562,300,0.0007
1.0068485736846924,105,18,399,2000,1.1784657,-41.33982849121094,0.0,4.5652875900268555,-1.0658066272735596,400,0.0007
1.0062575340270996,107,23,499,2500,-10.38817,-41.32036209106445,0.060115933418273926,189.5314483642578,499.43707275390625,500,0.0007
1.005216360092163,107,27,599,3000,7.222184,-41.301185607910156,0.013035595417022705,242.5161590576172,582.0078125,600,0.0007
1.0055415630340576,108,32,699,3500,-1.0210438,-41.308074951171875,5.960464477539063e-08,2.151201009750366,-59.059120178222656,700,0.0007
1.004442811012268,109,36,799,4000,-1.5697281,-41.27126693725586,0.3550429940223694,0.43295422196388245,19.321332931518555,800,0.0007
1.005018711090088,110,40,899,4500,-1.3289676,-41.28524398803711,-1.1920928955078125e-07,0.1578260213136673,-14.673521995544434,900,0.0007
1.0050063133239746,110,45,999,5000,-0.385621,-41.28766632080078,5.960464477539063e-08,36.611751556396484,194.2315673828125,1000,0.0007
1.0045278072357178,111,49,1099,5500,-1.5083131,-41.272705078125,0.0,23.233901977539062,-191.67245483398438,1100,0.0007
1.0052729845046997,111,53,1199,6000,3.8641133,-41.28754806518555,0.0,113.4214096069336,-398.42608642578125,1200,0.0007
1.0043282508850098,111,58,1299,6500,-21.85229,-41.2718505859375,1.1920928955078125e-07,74.14485168457031,65.48579406738281,1300,0.0007
1.0033479928970337,111,62,1399,7000,0.04963203,-41.230628967285156,1.1920928955078125e-07,10.261846542358398,-117.3046646118164,1400,0.0007
1.004290223121643,112,66,1499,7500,1.0427188,-41.254878997802734,0.0,0.5959308743476868,-20.415037155151367,1500,0.0007
1.006208896636963,112,71,1599,8000,-2.1128309,-41.31507873535156,-1.1920928955078125e-07,29.547534942626953,210.6002960205078,1600,0.0007
